171.25	0.141
171.5	0.118
171.75	0.086
172	0.058
172.25	0.049
172.5	0.031
172.75	0.015
173	-0.001
173.25	0.007
173.5	-0.005
173.75	-0.012
174	-0.017
174.25	-0.017
174.5	-0.022
174.75	-0.017
175	-0.014
175.25	-0.015
175.5	-0.014
175.75	-0.011
176	-0.007
176.25	-0.001
176.5	0.004
176.75	0.023
177	0.02
177.25	0.036
177.5	0.032
177.75	0.029
178	0.037
178.25	0.033
178.5	0.029
178.75	0.012
179	0.013
179.25	0.023
179.5	0.031
179.75	0.032
180	0.045
180.25	0.052
180.5	0.058
180.75	0.086
181	0.116
181.25	0.134
181.5	0.15
181.75	0.158
182	0.174
182.25	0.202
182.5	0.233
182.75	0.278
183	0.319
183.25	0.36
183.5	0.387
183.75	0.398
184	0.387
184.25	0.357
184.5	0.321
184.75	0.289
185	0.273
185.25	0.264
185.5	0.258
185.75	0.247
186	0.233
186.25	0.207
186.5	0.178
186.75	0.144
187	0.113
187.25	0.093
187.5	0.071
187.75	0.058
188	0.055
188.25	0.041
188.5	0.027
188.75	0.014
189	0.013
189.25	0.005
189.5	0.002
189.75	-0.015
190	-0.01
190.25	-0.006
190.5	-0.005
190.75	-0.016
191	-0.015
191.25	-0.005
191.5	-0.013
191.75	-0.026
192	-0.033
192.25	-0.036
192.5	-0.019
192.75	-0.023
193	-0.02
193.25	-0.01
193.5	-0.016
193.75	-0.011
194	0.004
194.25	0.01
194.5	0.029
194.75	0.039
195	0.057
195.25	0.088
195.5	0.151
195.75	0.265
196	0.454
196.25	0.706
196.5	1.047
196.75	1.447
197	1.834
197.25	2.114
197.5	2.217
197.75	2.129
198	1.864
198.25	1.523
198.5	1.154
198.75	0.843
199	0.577
199.25	0.381
199.5	0.254
199.75	0.161
200	0.099
200.25	0.054
200.5	0.034
200.75	0.014
201	0.006
201.25	0
201.5	-0.004
201.75	-0.01
202	-0.014
202.25	-0.018
202.5	-0.018
202.75	-0.021
203	-0.022
203.25	-0.018
203.5	-0.017
203.75	-0.022
204	-0.02
204.25	-0.021
204.5	-0.02
204.75	-0.018
205	-0.012
205.25	-0.002
205.5	0.006
205.75	0.021
206	0.04
206.25	0.059
206.5	0.079
206.75	0.098
207	0.112
207.25	0.122
207.5	0.13
207.75	0.146
208	0.17
208.25	0.206
208.5	0.259
208.75	0.331
209	0.42
209.25	0.519
209.5	0.623
209.75	0.717
210	0.797
210.25	0.855
210.5	0.882
210.75	0.877
211	0.842
211.25	0.785
211.5	0.722
211.75	0.643
212	0.561
